id,published,title,summary_cn,arxiv_url,pdf_url,primary_category,enrichment_status
2606.27361v1,2026-06-25T17:58:21+00:00,Autoregressive Boltzmann Generators,,http://arxiv.org/abs/2606.27361v1,https://arxiv.org/pdf/2606.27361v1,cs.LG,pending: DEEPSEEK_API_KEY is not set and enrichment.api_key is empty
2606.27321v1,2026-06-25T17:34:39+00:00,Beyond the Hard Budget: Sparsity Regularizers for More Interpretable Top-k Sparse Autoencoders,,http://arxiv.org/abs/2606.27321v1,https://arxiv.org/pdf/2606.27321v1,cs.LG,pending: DEEPSEEK_API_KEY is not set and enrichment.api_key is empty
2606.27304v1,2026-06-25T17:25:13+00:00,A Multi-Fidelity Convolutional Autoencoder-Transfer Learning Framework for Guided-Wave-Based Damage Diagnosis Using Large Simulated and Limited Experimental Datasets,,http://arxiv.org/abs/2606.27304v1,https://arxiv.org/pdf/2606.27304v1,cs.LG,pending: DEEPSEEK_API_KEY is not set and enrichment.api_key is empty
2606.27294v1,2026-06-25T17:13:00+00:00,Generative Models on Analog Hardware with Dynamics,,http://arxiv.org/abs/2606.27294v1,https://arxiv.org/pdf/2606.27294v1,cs.ET,pending: DEEPSEEK_API_KEY is not set and enrichment.api_key is empty
2606.27282v1,2026-06-25T16:57:50+00:00,How Good Can Linear Models Be for Time-Series Forecasting?,,http://arxiv.org/abs/2606.27282v1,https://arxiv.org/pdf/2606.27282v1,cs.LG,pending: DEEPSEEK_API_KEY is not set and enrichment.api_key is empty
2606.27242v1,2026-06-25T16:30:27+00:00,The Geometry of Updates: Fisher Alignment at Vocabulary Scale,,http://arxiv.org/abs/2606.27242v1,https://arxiv.org/pdf/2606.27242v1,cs.LG,pending: DEEPSEEK_API_KEY is not set and enrichment.api_key is empty
2606.27202v1,2026-06-25T16:00:11+00:00,Graph Neural Networks Applications Across Domains: All Insights You Need,,http://arxiv.org/abs/2606.27202v1,https://arxiv.org/pdf/2606.27202v1,cs.LG,pending: DEEPSEEK_API_KEY is not set and enrichment.api_key is empty
2606.27153v1,2026-06-25T15:23:03+00:00,DMuon: Efficient Distributed Muon Training with Near-Adam Overhead,,http://arxiv.org/abs/2606.27153v1,https://arxiv.org/pdf/2606.27153v1,cs.DC,pending: DEEPSEEK_API_KEY is not set and enrichment.api_key is empty
2606.27018v1,2026-06-25T13:30:51+00:00,On-board Remote-Sensing Foundation Models for Unsupervised Change Detection of Disaster Events,,http://arxiv.org/abs/2606.27018v1,https://arxiv.org/pdf/2606.27018v1,cs.CV,pending: DEEPSEEK_API_KEY is not set and enrichment.api_key is empty
2606.26021v1,2026-06-24T16:42:21+00:00,Privacy Vulnerabilities of Attention Layers in Tabular Foundation Models and Protection of High-Risk Queries,,http://arxiv.org/abs/2606.26021v1,https://arxiv.org/pdf/2606.26021v1,cs.CR,pending: DEEPSEEK_API_KEY is not set and enrichment.api_key is empty
2606.25991v1,2026-06-24T16:04:47+00:00,Capturing Nuclear Quantum Effects in Hydrogen Diffusion through MoS2 via Machine-Learning-Enhanced Path-Integral Simulations,,http://arxiv.org/abs/2606.25991v1,https://arxiv.org/pdf/2606.25991v1,cond-mat.mtrl-sci,pending: DEEPSEEK_API_KEY is not set and enrichment.api_key is empty
